name,lat,lon
Palmdale CA,34.5794343,-118.1164613
Pomona CA,34.055103,-117.7499909
"Somis, CA",34.2637508,-118.9946323
Weimar CA,39.0373968,-120.9724425
Byers CO,39.7102023,-104.2233886
"Cascade, CO",38.8966566,-104.9722013
Estes Park CO,40.3772059,-105.5216651
Minturn CO,39.5878615,-106.4307274
Lake Butler FL,30.0227391,-82.33955739999999
Orlando FL,28.5383832,-81.3789269
"Olin, IA",41.9980675,-91.1415456
Alexis IL,41.0633703,-90.5559675
Altamont IL,39.061988,-88.74811079999999
Batavia IL,41.8500284,-88.3125738
Big Rock IL,41.7639181,-88.54702189999999
De Land IL,40.1222568,-88.6453453
LeRoy IL,40.3519795,-88.764237
Columbia City IN,41.15726859999999,-85.4883127
Huntington IN,40.8831011,-85.49747599999999
Dalton MA,42.4736959,-73.1662138
Hathorne MA,42.5862595,-70.97288379999999
Aberdeen MD,39.5095556,-76.16411970000001
Emmitsburg MD,39.7045417,-77.32693069999999
New Windsor MD,39.5420455,-77.1080376
Spencerville MD,39.1145558,-76.9795532
Kennebunkport ME,43.3617327,-70.4767274
Brainerd MN,46.3526733,-94.2020084
Eagan MN,44.8041322,-93.1668858
Jordan MN,44.6711949,-93.6294286
Rosemount MN,44.7394103,-93.1257723
Lebanon MO,37.6805967,-92.6637865
Billings MT,45.7832856,-108.5006904
Helena MT,46.5891452,-112.0391057
Manchester NH,42.9956397,-71.4547891
Califon NJ,40.7195448,-74.83572149999999
Martinsville NJ,40.600449,-74.5595195
Phillipsburg NJ,40.69370989999999,-75.1901761
"Pittstown, NJ",40.5828697,-74.95849539999999
Cobleskill NY,42.677853,-74.4854172
Dunkirk NY,42.4795019,-79.3339324
Fishkill NY,41.53564919999999,-73.89902520000001
Cincinnati OH,39.1031182,-84.5120196
Loveland OH,39.2689476,-84.26382600000001
Canby OR,45.262692,-122.6957402
"Corvallis, OR",44.5645659,-123.2620435
"Creswell, OR",43.9179023,-123.0245261
Douglas County OR,43.1260694,-123.2492364
Happy Valley OR,45.4412329,-122.5125279
McMinnville OR,45.2107513,-123.1944873
Mt Angel OR,45.0678986,-122.8000917
Dingmans Ferry PA,41.2200946,-74.87127989999999
Gettysburg PA,39.8309293,-77.2310955
Lancaster PA,40.0378755,-76.3055144
Milroy PA,40.7139566,-77.5905511
Mt. Pleasant PA,40.1489607,-79.54114969999999
New Hope PA,40.36427279999999,-74.9512785
Trout Run PA,41.3857456,-77.0551983
Turbotville PA,41.1020285,-76.77107160000001
"Waynesboro, PA PA",39.755927,-77.57776919999999
Worcester PA,40.2007702,-75.34605049999999
Youngwood PA,40.240348,-79.57670660000001
Bristol RI,41.6771101,-71.26620249999999
New Castle VA,37.5001287,-80.11088149999999
Palmyra VA,37.8609872,-78.2633426
Wirtz VA,37.0769153,-79.89016099999999
Camano Island WA,48.17398619999999,-122.5282138
"Centralia, WA",46.7162136,-122.9542972
Lynden WA,48.9428018,-122.4529469
Maple Falls WA,48.9242888,-122.077093
Rochester WA,46.8280636,-123.0755296
Tumwater WA,47.0073187,-122.9093063
Luxemburg WI,44.5386065,-87.7039813
Somers (Kenosha) WI,42.64029730000001,-87.91035629999999
Union Grove WI,42.688074,-88.0514731
Laramie WY,41.3113669,-105.5911007
Wasilla AK,61.58087629999999,-149.4410598
Cullman AL,34.1748208,-86.8436124
Brentwood CA,37.931868,-121.6957863
Fillmore CA,34.3991639,-118.918154
Healdsburg CA,38.6104658,-122.8691609
Lake View Terrace CA,34.2763908,-118.3611912
Aurora CO,39.7294319,-104.8319195
"Denver, CO",39.7392358,-104.990251
Fairplay CO,39.2247125,-106.0019618
Cumming GA,34.2073196,-84.14019259999999
Winterset IA,41.3308237,-94.0138393
Lutherville-Timonium MD,39.4354087,-76.6123884
Stevensville MD,38.9806679,-76.3143999
Worton MD,39.2745539,-76.09217009999999
Leslie MI,42.4514252,-84.4324695
Farmington MN,44.6402434,-93.1435497
St. Paul MN,44.9537029,-93.0899578
Clemmons NC,36.0215258,-80.3819984
Eldred NY,41.5270271,-74.88443269999999
Hamburg NY,42.7158927,-78.8294768
Oregon OH,41.6436603,-83.48687679999999
Elmira OR,44.068663,-123.3546445
Newberg OR,45.3003268,-122.9761317
Biglerville PA,39.9303715,-77.2480391
Furlong PA,40.29621789999999,-75.082115
Pawtucket RI,41.878711,-71.38255579999999
Burnet TX,30.75823759999999,-98.2283585
Kerrville TX,30.0474332,-99.1403189
Whatcom County WA,48.8787167,-121.9718658
Somers WI,42.64029730000001,-87.91035629999999
Dana Point CA,33.4672256,-117.6981014
Garden Grove CA,33.7742692,-117.9379952
Orange CA,33.7879139,-117.8531007
Ramona CA,33.04136039999999,-116.8792553
Bayfield CO,37.2255593,-107.5981123
Deckers CO,39.2547124,-105.2269382
Elizabeth CO,39.3602662,-104.596915
New Castle CO,39.5727585,-107.5364443
Canton GA,34.2367621,-84.4907621
Channahon IL,41.4294753,-88.2286735
Oswego IL,41.6828074,-88.35145960000001
